State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes,Enrollment_Date,Newly_Eligible_Percentage
Pennsylvania ,2957012,822177.0,773433.0,48744.0,2026,2,2025,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015.",2025-06-01,94.07134959990367
Puerto Rico ,1332754,609078.0,,609078.0,2026,2,2025,6,,2025-06-01,
Rhode Island ,304608,76455.0,76455.0,0.0,2026,2,2025,6,,2025-06-01,100.0
South Carolina ,1220541,,,,2026,2,2025,6,,2025-06-01,
South Dakota ,132754,29843.0,29843.0,0.0,2026,2,2025,6,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023.",2025-06-01,100.0
Tennessee ,1504581,,,,2026,2,2025,6,,2025-06-01,
Texas ,4374287,,,,2026,2,2025,6,,2025-06-01,
Utah ,335872,82570.0,81396.0,1174.0,2026,2,2025,6,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020.",2025-06-01,98.57817609301199
Vermont ,163398,61252.0,0.0,61252.0,2026,2,2025,6,,2025-06-01,0.0
Virgin Islands ,20512,7963.0,,7963.0,2026,2,2025,6,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015.",2025-06-01,
Virginia ,1699456,629482.0,629482.0,0.0,2026,2,2025,6,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019.",2025-06-01,100.0
Washington ,1806696,597699.0,573302.0,24397.0,2026,2,2025,6,,2025-06-01,95.91817955191493
West Virginia ,510520,170182.0,170182.0,0.0,2026,2,2025,6,,2025-06-01,100.0
Wisconsin ,1209196,,,,2026,2,2025,6,,2025-06-01,
Wyoming ,66428,,,,2026,2,2025,6,,2025-06-01,
Totals,82877280,20399012.0,16388981.0,4010031.0,2026,2,2025,6,,2025-06-01,80.34203323180554
