State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Illinois ",2816066,814097.0,728038.0,86059.0,2026,2,2025,6,
"Indiana ",1721774,517848.0,517848.0,0.0,2026,2,2025,6,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ",597068,179380.0,164488.0,14892.0,2026,2,2025,6,
"Kansas ",374764,,,,2026,2,2025,6,
"Kentucky ",1345767,464026.0,464026.0,0.0,2026,2,2025,6,
"Louisiana ",1794729,742292.0,507292.0,235000.0,2026,2,2025,6,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ",371862,96688.0,77433.0,19255.0,2026,2,2025,6,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ",1288374,331544.0,331544.0,0.0,2026,2,2025,6,
"Massachusetts ",1941740,344092.0,0.0,344092.0,2026,2,2025,6,
"Michigan ",2337596,716393.0,672044.0,44349.0,2026,2,2025,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ",1148946,212268.0,212268.0,0.0,2026,2,2025,6,
"Mississippi ",649345,,,,2026,2,2025,6,
"Missouri ",1196085,350174.0,350174.0,0.0,2026,2,2025,6,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ",206486,75318.0,75318.0,0.0,2026,2,2025,6,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ",18239,,,,2026,2,2025,6,
"Nebraska ",337654,69678.0,67384.0,2294.0,2026,2,2025,6,
"Nevada ",712569,283845.0,283845.0,0.0,2026,2,2025,6,
"New Hampshire ",181962,60900.0,59942.0,958.0,2026,2,2025,6,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ",1614372,546446.0,546446.0,0.0,2026,2,2025,6,
